"Program","xPONENT","","MAGPIX"
"Build","4.2.1705.0"
"Date","05/11/2022","4:45 PM"

"SN","MAGPX16145704"
"Batch","IgG_CovidOiseS4_30plex_plate5_20220511"
"Version","1"
"Operator","mph"
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","Covid_30plex_new"
"ProtocolVersion","1"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleWash","Off"
"SampleVolume","65 uL"
"BatchStartTime","5/12/2022 6:17:40 PM"
"BatchStopTime","5/12/2022 7:19:45 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","Current 96-well plate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","30"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 05/09/2022 12:07:47"
"Last VER Verification","Passed 05/09/2022 12:08:49"
"Last Fluidics Test","Passed 05/09/2022 12:10:09"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B83445","09/15/2022","5/9/2022 12:07:47 PM","26","26","26","26","163","205","310","310","0.00721","0.0071","0.00394","0.11668","Pass","MAGPX16145704"


"Samples","96","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Spike_6P","ME","HKU1_S","OC43_NP","OC43_S","HKU1_NP","229E_NP","Mumps_NP","RBD_B16171","NL63_NP","RBD_B16172","RBD_wuhan","NL63_S","229E_S","Spike_B16172","Spike_B117","Measles_NP","Ade5","NP","Spike_P1","Rub","Ade40","RBD_B117","Spike_B1351","FluA","RBD_B1351","RBD_P15","S2","Spike_omicron","RBD_omicron","Total Events"
"93(1,H9)","Unknown72","5487.12","648.03","610.91","132.72","137.57","116.02","371.38","268.41","2014.26","377.43","1214.29","1186.1","116.68","1078.04","2368.4","1362.06","275.19","2124.23","223.13","4368.06","250.34","778.87","1616.83","1807.31","513.62","1010.98","1860.61","1207.5","1379.53","2015.49","1849"
"94(1,H10)","Unknown80","1115.47","45.09","172.82","191.75","157.81","59.35","70.7","78.14","91.25","203.49","72.27","1716.04","193.19","534.95","515.56","618.8","393.63","1637.11","128.29","883.41","420.62","463.27","868.85","1939.57","635.86","86.88","124.02","498.5","738.45","193.51","1677"
"95(1,H11)","Unknown88","2978.41","49.79","111.19","63.86","4387.39","63.16","97.47","25.95","1209.31","201.04","1062.23","1610.49","60.08","193.39","1783.65","1590.29","103.88","1341.41","1260.33","2205.4","223.97","453.28","887.38","921.55","541.02","788.35","1260.81","827.88","561.71","888.65","1858"
"96(1,H12)","Unknown96","2226.23","136.53","191.96","130.7","165.32","159.68","222.69","73.03","517.12","749.85","759.85","1091.88","86.97","173.22","1048.2","1398.47","812.95","1578.16","752.89","682.64","145.4","286.87","297.44","778","249.91","347.34","527.19","563.35","151.21","351.53","1392"

"DataType:","Trimmed Count"
"Location","Sample","Spike_6P","ME","HKU1_S","OC43_NP","OC43_S","HKU1_NP","229E_NP","Mumps_NP","RBD_B16171","NL63_NP","RBD_B16172","RBD_wuhan","NL63_S","229E_S","Spike_B16172","Spike_B117","Measles_NP","Ade5","NP","Spike_P1","Rub","Ade40","RBD_B117","Spike_B1351","FluA","RBD_B1351","RBD_P15","S2","Spike_omicron","RBD_omicron","Total Events"
"1(1,A1)","B","44","59","66","63","46","56","44","58","42","50","31","55","73","61","48","60","32","38","53","36","43","47","49","44","58","69","48","55","45","49","1692"
"2(1,A2)","S","61","47","50","44","31","44","45","40","41","39","39","45","51","58","56","62","39","38","54","59","41","47","66","59","49","39","44","40","62","38","1588"
"3(1,A3)","S","50","68","76","64","45","52","45","56","56","52","53","63","63","39","62","46","29","51","56","41","46","47","58","63","54","45","49","46","42","50","1747"
"4(1,A4)","S","43","62","61","58","40","36","50","39","49","46","47","47","54","44","51","52","39","55","45","49","35","46","44","57","63","41","45","41","37","45","1585"
"5(1,A5)","S","39","54","62","40","42","45","49","42","35","33","30","38","45","43","45","62","37","35","60","52","20","53","44","43","46","45","41","43","38","31","1432"
"6(1,A6)","S","50","75","63","59","56","50","53","52","52","44","44","63","71","53","55","63","45","48","61","64","76","71","65","43","48","69","62","38","55","55","1893"
"7(1,A7)","S","44","54","57","46","39","42","53","41","48","53","39","42","56","42","39","53","39","40","52","68","38","29","59","52","57","44","44","30","42","46","1540"
"8(1,A8)","S","48","55","60","60","44","55","49","53","77","54","48","58","61","53","51","67","26","44","56","51","50","44","62","52","68","48","55","49","57","58","1795"
"9(1,A9)","S","64","69","70","58","48","54","62","63","50","56","48","47","63","63","73","62","46","54","65","51","55","53","73","62","55","63","45","41","52","57","1916"
"10(1,A10)","S","57","61","49","56","44","45","44","37","52","41","42","41","48","45","50","47","27","36","45","40","39","45","45","59","52","47","39","46","42","43","1518"
"11(1,A11)","S","52","58","60","59","35","51","45","43","44","62","50","37","63","54","62","67","46","35","54","62","44","38","61","59","70","52","57","36","52","44","1726"
"12(1,A12)","S","55","53","61","54","44","52","36","62","45","62","45","63","77","53","60","68","39","60","50","59","53","63","66","60","70","66","51","42","51","61","1861"
"13(1,B1)","Unknown2","54","52","60","45","29","36","40","38","41","36","50","45","68","44","57","45","31","45","40","46","50","34","49","62","63","51","49","34","43","41","1534"
"14(1,B2)","Unknown10","64","69","66","59","44","48","44","50","41","45","47","51","72","57","65","69","39","48","49","56","33","47","62","53","51","66","33","44","38","65","1759"
"15(1,B3)","Unknown18","71","70","91","63","51","45","51","54","62","51","49","63","63","72","67","54","43","52","51","59","43","60","80","72","58","52","58","55","64","58","1980"
"16(1,B4)","Unknown26","48","52","57","51","42","38","45","44","46","47","38","46","56","47","55","52","39","55","34","51","39","44","56","59","56","56","49","26","56","58","1604"
"17(1,B5)","Unknown34","55","56","72","54","44","49","46","63","65","51","45","55","56","56","72","51","30","41","66","66","51","40","61","65","60","51","52","39","62","48","1804"
"18(1,B6)","Unknown42","57","63","63","59","43","50","48","45","41","48","35","56","73","61","64","62","42","45","62","45","44","60","55","49","50","65","46","35","60","55","1759"
"19(1,B7)","Unknown50","46","49","52","47","43","46","41","45","50","42","44","33","61","46","55","61","36","38","40","46","44","43","45","53","70","51","46","40","47","59","1583"
"20(1,B8)","Unknown58","54","51","82","48","45","44","44","54","45","45","41","44","55","63","55","52","39","45","45","54","38","38","63","50","61","44","47","40","49","45","1642"
"21(1,B9)","Unknown66","37","45","49","39","34","27","33","36","48","36","39","46","67","35","48","44","26","43","28","43","33","40","59","48","52","52","36","36","41","39","1381"
"22(1,B10)","Unknown74","42","42","58","41","44","24","37","31","50","40","37","47","44","33","50","43","26","44","40","54","25","34","43","50","61","45","33","36","34","34","1356"
"23(1,B11)","Unknown82","52","57","65","51","31","49","45","59","40","54","44","44","63","48","68","60","30","46","50","55","28","39","45","45","54","51","56","35","36","55","1623"
"24(1,B12)","Unknown90","36","39","41","40","31","44","27","39","46","39","34","36","44","26","40","38","33","30","38","31","30","40","57","40","50","40","32","28","35","49","1263"
"25(1,C1)","Unknown3","58","48","59","46","37","38","38","37","41","40","39","46","62","44","62","59","42","41","52","45","32","45","43","49","49","40","44","36","47","48","1523"
"26(1,C2)","Unknown11","45","32","57","39","33","39","45","39","28","34","40","40","46","42","45","45","41","52","44","51","29","43","41","49","44","47","47","27","43","42","1389"
"27(1,C3)","Unknown19","57","57","76","42","43","44","40","41","45","47","35","42","60","44","54","48","39","49","65","60","40","46","67","56","63","42","50","36","31","52","1629"
"28(1,C4)","Unknown27","44","52","50","55","42","45","44","45","48","46","33","52","47","61","53","57","43","38","50","62","46","44","53","59","59","45","45","31","47","57","1617"
"29(1,C5)","Unknown35","41","51","55","38","26","43","29","45","44","45","40","42","61","39","44","51","32","45","44","50","29","27","45","37","48","51","45","29","49","55","1430"
"30(1,C6)","Unknown43","48","63","45","48","32","55","42","34","45","51","42","54","57","48","53","69","37","37","62","55","37","34","48","39","48","52","54","27","46","48","1572"
"31(1,C7)","Unknown51","46","57","62","45","30","45","40","44","44","43","32","36","62","42","51","44","30","37","31","44","34","45","59","38","39","45","45","34","43","51","1444"
"32(1,C8)","Unknown59","67","57","70","49","37","52","51","56","57","51","46","47","62","63","73","66","38","61","46","55","36","58","61","63","60","65","45","46","68","61","1855"
"33(1,C9)","Unknown67","63","69","63","46","51","49","38","45","47","52","41","54","67","57","54","61","42","33","61","49","49","52","59","62","49","59","54","44","43","44","1731"
"34(1,C10)","Unknown75","52","61","57","55","39","61","45","48","51","47","47","53","63","49","71","58","28","46","53","69","54","58","66","56","67","46","53","46","54","57","1796"
"35(1,C11)","Unknown83","63","63","64","62","45","48","52","56","47","43","47","55","62","57","62","63","48","61","56","45","55","38","56","63","60","44","44","45","45","58","1793"
"36(1,C12)","Unknown91","47","55","77","48","32","58","44","47","56","46","45","41","46","42","42","57","36","36","38","44","35","27","39","62","46","33","36","38","41","48","1492"
"37(1,D1)","Unknown4","61","58","62","50","48","40","49","47","46","38","48","43","68","47","62","74","26","43","56","56","46","42","59","62","62","59","48","55","55","50","1732"
"38(1,D2)","Unknown12","64","63","74","52","42","62","53","53","59","48","45","62","67","56","65","55","30","60","49","55","44","45","77","57","55","67","41","50","58","47","1841"
"39(1,D3)","Unknown20","69","81","78","69","54","63","59","54","48","61","32","66","80","59","66","61","42","54","59","63","57","55","70","61","65","55","54","45","60","52","1988"
"40(1,D4)","Unknown28","51","54","62","53","45","44","38","48","60","45","43","54","55","36","50","48","38","47","42","43","32","42","57","42","62","51","43","41","39","49","1564"
"41(1,D5)","Unknown36","47","60","57","54","45","50","51","46","55","53","41","52","66","47","53","48","31","51","41","53","33","46","69","53","45","59","57","45","44","52","1676"
"42(1,D6)","Unknown44","58","50","58","63","39","55","44","53","58","43","49","54","50","45","59","51","40","57","56","45","45","44","66","57","58","47","33","37","57","45","1686"
"43(1,D7)","Unknown52","44","52","50","29","35","46","44","36","41","39","42","44","57","62","44","45","25","42","47","39","42","45","51","44","54","51","36","37","48","40","1455"
"44(1,D8)","Unknown60","46","45","65","45","41","43","34","40","45","48","36","68","80","57","54","57","39","55","56","61","45","44","58","59","45","59","60","43","55","45","1698"
"45(1,D9)","Unknown68","62","63","54","52","39","44","47","49","50","37","44","44","52","49","43","45","31","40","44","47","42","55","49","44","59","44","44","34","47","60","1574"
"46(1,D10)","Unknown76","54","65","60","49","46","54","44","33","49","46","44","63","62","58","72","46","39","41","58","62","38","52","61","69","63","61","45","53","49","52","1768"
"47(1,D11)","Unknown84","39","64","45","40","33","39","39","44","37","41","28","48","44","39","61","46","28","37","45","40","33","40","53","48","48","34","52","39","44","43","1415"
"48(1,D12)","Unknown92","51","47","56","42","51","35","32","44","45","44","43","54","47","51","59","52","41","44","58","45","45","36","38","46","59","30","44","44","48","45","1528"
"49(1,E1)","Unknown5","49","50","62","55","44","52","55","46","51","56","40","40","56","44","59","70","33","45","55","54","51","46","63","53","64","48","49","42","53","66","1727"
"50(1,E2)","Unknown13","48","56","62","40","28","43","45","39","51","51","38","57","68","51","63","50","36","34","44","49","36","33","45","54","45","40","41","32","55","55","1543"
"51(1,E3)","Unknown21","63","56","69","46","35","36","57","53","53","40","48","56","80","41","66","65","44","49","50","63","49","55","49","66","62","55","44","44","60","62","1796"
"52(1,E4)","Unknown29","47","50","61","45","32","45","41","45","44","45","44","40","40","45","62","54","35","33","59","37","51","41","47","57","44","44","49","35","59","50","1535"
"53(1,E5)","Unknown37","51","65","60","58","48","51","46","53","55","50","42","45","51","48","52","55","33","32","40","63","32","33","58","55","62","62","42","41","41","44","1630"
"54(1,E6)","Unknown45","48","53","47","64","42","51","40","37","58","45","39","42","52","44","46","54","35","37","47","37","38","44","63","42","44","44","45","45","42","37","1510"
"55(1,E7)","Unknown53","59","55","44","58","35","37","45","43","54","45","39","45","61","52","44","57","30","45","42","43","44","45","47","58","45","44","45","31","47","57","1546"
"56(1,E8)","Unknown61","52","54","52","35","38","33","34","22","50","45","34","45","44","49","54","51","36","31","33","39","34","40","45","43","36","33","33","28","53","45","1363"
"57(1,E9)","Unknown69","44","45","61","62","33","47","52","57","58","50","39","49","65","60","56","60","44","47","58","61","62","56","62","63","62","53","62","35","50","57","1788"
"58(1,E10)","Unknown77","45","62","62","61","59","45","46","48","63","44","44","66","64","56","46","57","36","58","54","60","54","48","55","73","60","60","47","51","47","49","1800"
"59(1,E11)","Unknown85","40","57","62","38","35","39","38","34","48","44","38","50","58","58","50","55","41","35","55","40","28","29","41","44","47","44","32","34","48","42","1448"
"60(1,E12)","Unknown93","57","67","58","56","53","54","33","48","62","43","42","47","64","45","62","54","39","52","43","48","41","45","49","67","47","64","56","38","50","54","1714"
"61(1,F1)","Unknown6","46","46","61","32","41","41","33","29","42","38","43","49","59","42","54","68","33","42","49","44","29","43","65","49","60","31","42","45","48","51","1507"
"62(1,F2)","Unknown14","64","58","66","50","44","53","34","45","54","51","56","56","55","62","70","50","40","34","45","55","44","43","64","58","62","54","48","48","49","47","1739"
"63(1,F3)","Unknown22","48","47","81","53","37","47","53","41","58","59","47","55","76","55","63","68","31","54","58","50","57","46","59","75","58","73","38","51","62","68","1856"
"64(1,F4)","Unknown30","59","45","54","56","42","47","30","43","40","41","44","46","47","44","46","53","27","44","43","63","32","35","55","64","57","49","41","30","49","55","1533"
"65(1,F5)","Unknown38","49","63","56","56","35","40","50","45","60","54","41","57","59","43","77","54","43","50","76","46","53","45","54","59","49","62","65","47","64","54","1784"
"66(1,F6)","Unknown46","62","57","59","59","42","57","36","47","54","43","48","72","57","46","66","52","33","38","45","45","39","55","80","62","54","59","30","45","51","64","1725"
"67(1,F7)","Unknown54","50","62","46","44","39","44","46","42","53","42","32","40","54","46","49","56","30","35","45","41","31","45","49","49","50","38","40","35","43","46","1476"
"68(1,F8)","Unknown62","75","56","67","49","43","43","49","44","60","51","51","48","60","41","47","60","32","42","52","51","55","44","54","40","51","59","46","44","63","66","1715"
"69(1,F9)","Unknown70","53","49","55","47","39","50","50","52","58","53","45","52","62","62","59","60","33","41","71","58","45","35","48","55","56","63","53","50","60","39","1727"
"70(1,F10)","Unknown78","54","67","60","54","57","57","43","45","61","55","31","45","66","62","66","47","42","52","42","65","43","35","62","48","63","60","37","57","56","47","1751"
"71(1,F11)","Unknown86","66","73","60","65","41","54","48","63","58","62","45","48","62","56","71","58","45","57","66","55","54","48","60","81","67","48","51","45","64","63","1930"
"72(1,F12)","Unknown94","36","41","48","44","31","45","34","41","45","36","44","41","47","38","45","42","30","40","36","42","32","41","51","37","28","36","39","32","31","44","1309"
"73(1,G1)","Unknown7","45","55","55","59","40","40","38","38","50","45","34","49","59","48","55","63","34","56","46","50","24","33","54","47","63","40","47","38","45","38","1542"
"74(1,G2)","Unknown15","48","59","59","48","40","40","52","31","55","49","43","51","57","46","52","62","37","37","51","61","37","37","57","54","43","58","37","44","60","53","1618"
"75(1,G3)","Unknown23","62","66","64","61","41","43","54","37","49","56","55","50","64","49","61","65","39","36","74","77","36","52","58","60","70","66","60","48","50","64","1855"
"76(1,G4)","Unknown31","50","42","60","52","35","47","43","36","62","57","27","59","65","45","54","50","29","45","39","51","44","34","54","44","42","55","41","41","50","45","1556"
"77(1,G5)","Unknown39","49","45","56","53","27","46","41","37","56","46","52","54","62","46","61","68","36","47","54","53","41","48","56","62","69","65","50","56","51","37","1698"
"78(1,G6)","Unknown47","57","44","65","51","37","38","53","53","63","44","44","51","61","55","62","61","40","49","40","64","40","38","72","60","63","45","41","43","54","62","1720"
"79(1,G7)","Unknown55","56","68","67","57","47","49","51","55","58","54","44","44","61","55","60","55","40","47","58","47","44","50","58","54","63","44","46","39","52","46","1747"
"80(1,G8)","Unknown63","39","41","60","49","29","37","38","44","49","49","45","57","49","50","61","57","26","44","50","55","31","44","52","47","58","46","46","31","58","49","1551"
"81(1,G9)","Unknown71","71","53","60","53","46","64","65","46","56","46","44","50","59","57","56","62","35","62","67","63","41","51","70","62","53","60","44","47","54","60","1843"
"82(1,G10)","Unknown79","65","62","56","56","44","39","52","45","48","43","26","47","62","54","43","44","33","36","53","57","42","47","61","55","55","56","44","47","51","48","1633"
"83(1,G11)","Unknown87","55","70","69","44","43","51","36","48","38","41","36","62","61","45","44","52","40","45","44","45","40","35","56","63","44","52","51","42","55","73","1640"
"84(1,G12)","Unknown95","45","38","58","42","44","43","58","50","67","45","40","45","59","45","59","52","27","48","46","50","26","41","67","63","50","56","52","39","32","44","1591"
"85(1,H1)","Unknown8","65","55","53","45","34","56","63","35","42","44","34","54","52","55","73","78","39","60","40","60","46","53","60","63","54","59","49","45","59","56","1755"
"86(1,H2)","Unknown16","59","44","66","53","40","38","57","41","45","45","45","54","60","58","63","52","51","56","44","46","45","45","63","52","43","48","45","43","72","52","1701"
"87(1,H3)","Unknown24","69","51","68","54","44","59","53","62","67","55","57","55","62","45","70","61","45","55","58","54","46","41","62","56","66","47","57","44","62","51","1860"
"88(1,H4)","Unknown32","51","45","60","55","51","59","50","50","55","61","56","51","72","54","53","64","37","55","49","45","44","48","52","58","69","52","58","37","49","63","1781"
"89(1,H5)","Unknown40","51","62","67","46","44","54","42","62","55","64","50","62","55","57","60","49","35","50","57","49","38","54","63","55","62","55","57","40","54","54","1779"
"90(1,H6)","Unknown48","62","47","67","52","43","46","44","39","45","45","58","43","64","53","71","71","35","54","49","62","53","37","60","55","44","57","48","45","64","67","1760"
"91(1,H7)","Unknown56","56","79","62","53","47","48","58","62","56","55","45","53","56","61","67","66","39","54","44","56","56","66","62","56","81","50","53","38","47","65","1881"
"92(1,H8)","Unknown64","65","63","81","58","60","49","45","54","60","50","44","52","66","62","62","51","37","58","51","63","55","41","57","69","58","62","60","53","59","51","1884"
"93(1,H9)","Unknown72","48","62","70","58","41","61","55","58","48","45","39","57","66","56","64","61","37","63","63","64","63","54","53","58","54","61","53","45","55","55","1849"
"94(1,H10)","Unknown80","50","45","61","45","56","63","45","56","45","49","45","52","53","55","62","55","38","45","56","40","51","36","55","55","63","50","39","44","49","51","1677"
"95(1,H11)","Unknown88","49","58","67","56","55","57","60","50","68","53","44","62","87","41","71","63","28","49","62","54","50","45","63","54","66","61","49","44","45","57","1858"
"96(1,H12)","Unknown96","40","49","44","25","34","53","33","35","39","44","31","54","53","44","50","51","32","32","57","43","45","38","39","59","43","37","35","29","42","44","1392"

"DataType:","Trimmed Mean"
"Location","Sample","Spike_6P","ME","HKU1_S","OC43_NP","OC43_S","HKU1_NP","229E_NP","Mumps_NP","RBD_B16171","NL63_NP","RBD_B16172","RBD_wuhan","NL63_S","229E_S","Spike_B16172","Spike_B117","Measles_NP","Ade5","NP","Spike_P1","Rub","Ade40","RBD_B117","Spike_B1351","FluA","RBD_B1351","RBD_P15","S2","Spike_omicron","RBD_omicron","Total Events"
